"","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","datahoraposi","POSTID","datadate","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund"
"72","So ist es. 👌 Unter Demokraten gratuliert man, wenn man es nicht geschafft hat. 🙋🏻‍♂️","2022-03-27T11:04:02","Publicación de Facebook",676,5,NA,5,0,0,"2022-03-27","11:04:02",2022-03-27 11:04:02," es. 👌 Unt",2022-03-27,NA,NA,NA,NA,NA,NA,NA
"73","Das heute von der 🚦 angekündigte Paket ist der kleinste gemeinsame Nenner der Koalitionsparteien. Das Sammelsurium einzelner Maßnahmen schafft keine Entlastung, sondern stiftet Bürokratie und sogar Mehrbelastung. Studenten, Rentner und alle Nichtsteuerzahler gehen leer aus. 

#daswarnixheute #bundesregierung #unbedingtnachbessern

CDU/CSU-Bundestagsfraktion","2022-03-24T12:08:39","Publicación de Facebook",1953,29,NA,206,18,4,"2022-03-24","12:08:39",2022-03-24 12:08:39,"ute von de",2022-03-24,"worter","worter","gebastelt","Lebenskosten","Maßnahme",1,"böse"
"74","Gestern Abend in Berlin stand das Handwerk 🔨 in Sachsen.de im Mittelpunkt.

Stark gestiegene Energiepreise, gerissene Lieferketten, Fachkräftemangel, das Unrecht in der Ukraine 🇺🇦 - all das beschäftigt unsere Handwerker 👨‍🔧🧑🏻‍🔧 sehr. Trotzdem treffen sie jeden Tag Entscheidungen für ihr Unternehmen und für die Zukunft. Dabei muss Politik sie unterstützen und Hand anlegen, damit es besser wird.

Trotz all der Probleme und Krisen hatten Jörg Dittrich und ich, wie man sieht, viel Freude beim Philosophieren über den Satz auf dem Bild hinter uns. 🙋🏻‍♂️","2022-03-24T01:33:30","Publicación de Facebook",1019,39,NA,35,0,0,"2022-03-24","01:33:30",2022-03-24 01:33:30,"n Abend in",2022-03-24,NA,NA,NA,NA,NA,NA,NA
"75","Eine gute Initiative des Landtagspräsidenten des #Freistaates Sachsen.de 🤍💚
#standwithU 🇺🇦","2022-03-23T03:30:11","Publicación de Facebook",234,2,NA,9,1,0,"2022-03-23","03:30:11",2022-03-23 03:30:11,"ute Initia",2022-03-23,NA,NA,NA,NA,NA,NA,NA
"76","Für mich eins der wichtigsten Telefonate 📲 seit der #Bundestagswahl #FreeLuis","2022-03-22T13:14:18","Publicación de Facebook",857,13,NA,61,7,1,"2022-03-22","13:14:18",2022-03-22 13:14:18,"ch eins de",2022-03-22,NA,NA,NA,NA,NA,NA,NA
"77","Seit 1992 rufen die Vereinten Nationen zum #Weltwassertag auf. #Wasser 💦 ist die essenziellste Ressource allen Lebens.

Der Weltwassertag💧2022 stärkt unsere Aufmerksamkeit für unser Grundwasser, unseren unsichtbaren Schatz. Ich möchte uns in Erinnerung rufen, dass allein im #Wahlkreis160 etliche Trinkwasserschutzgebiete liegen; so z.B. bei #Großerkmannsdorf, #Größröhrsdorf, #OttendorfOkrilla und vom Wachwitzer #Elbhang bis nach #Pillnitz. Diese gilt es zu schützen. Lasst uns generell mit Wasser sparsam umgehen!

#Grundwasser #Grundwasserschutz #Moor #Elbe #Röder #WasserSparen","2022-03-22T10:01:03","Publicación de Facebook",418,5,NA,0,0,0,"2022-03-22","10:01:03",2022-03-22 10:01:03,"992 rufen ",2022-03-22,NA,NA,NA,NA,NA,NA,NA
"78",">>> Obwohl ich schon viele Jahre im Sächsischen #Landtag 🤍💚 arbeiten durfte, ist das Abgeordneten-Dasein im Deutschen #Bundestag 🖤❤️💛 doch ganz neu! 🤩

Die Konrad-Adenauer-Stiftung hat mich und andere neue MdB-Kolleginnen und Kollegen genau dazu befragt. Wir haben uns über die alles überlagernden Themen - #Ukraine 🇺🇦 und #Corona🦠Impfpflicht - genau so unterhalten wie über meinen Lieblingsplatz im #Wahlkreis160 oder Survivaltipps für lange Sitzungstage.

Es ist mir eine Ehre Mitglied des Deutschen Bundestages zu sein und ich freue mich hier anpacken zu können! Danke für euren Besuch, liebe KAS. Und bis zum nächsten Mal. 🙋🏻‍♂️","2022-03-22T08:00:04","Publicación de Facebook",816,17,NA,45,0,0,"2022-03-22","08:00:04",2022-03-22 08:00:04,"wohl ich s",2022-03-22,"aktivitäten","bild","spontan","Interview","Medien",2,"meinung_teilen"
"79","Ort der Erholung, Klimaschützer, Arbeitsplatz - unser #Wald hat viele Talente. Damit uns der Wald mit seinen vielfältigen Aufgaben auch in den kommenden Jahrzehnten erhalten bleibt, setzen wir auf eine multifunktionale und nachhaltige #Forstwirtschaft 🌳🌲

Waldbesitzer brauchen eine finanzielle Honorierung ihrer Ökosystemleistungen, damit sie den Wald klimagerecht umbauen können. Außerdem fordern wir eine stärkere Förderung von #Holz als Bau-, Werk- und Brennstoff. Wir glauben, dass ökologisch intakte Wälder und eine nachhaltige wirtschaftliche Nutzung kein Widerspruch sind. Im Gegenteil: Sie bedingen einander 🤝

#TagdesWaldes","2022-03-21T08:00:51","Publicación de Facebook",407,8,NA,0,0,0,"2022-03-21","08:00:51",2022-03-21 08:00:51,"r Erholung",2022-03-21,"Unterseiteworter",NA,"gebastelt","Umwelt","Wirtschaft",1,"Ephemeriden"
"80","👌 Der beste und natürlichste CO2-Speicher überhaupt ist der Wald 🌳🌲🌳
#TagdesWaldes 🌱","2022-03-21T00:10:26","Publicación de Facebook",360,2,NA,0,0,0,"2022-03-21","00:10:26",2022-03-21 00:10:26,"beste und ",2022-03-21,NA,NA,NA,NA,NA,NA,NA
"81","Die Unionsfraktion fordert in ihrem Antrag die Bundesregierung auf, das Mahnmal für die Opfer des Kommunismus bis 2024 zu realisieren. Der 70. Jahrestag des Volksaufstandes in der DDR am 17. Juni 2023 wäre ein geeigneter Termin für die Grundsteinlegung in Berlin. Gegen das Vergessen der Opfer des Kommunismus! 🕯

#Kommunismus #Geschichte #Volksaufstand #DDR #17Juni

Bundesstiftung zur Aufarbeitung der SED-Diktatur CDU/CSU-Bundestagsfraktion","2022-03-18T13:55:41","Publicación de Facebook",1630,57,NA,111,26,3,"2022-03-18","13:55:41",2022-03-18 13:55:41,"ionsfrakti",2022-03-18,"Unterseiteworter","worter","gebastelt","Erinnerungskultur","DDR",1,"erinnen"
"82","18. März 1990 ❌ Meine erste Wahl 🗳 und dann gleich historisch! ☺️ Was für ein Moment! 🙏
Am 18. März vor 32 Jahren fand die erste freie Volkskammerwahl der DDR statt. Erstmals hatten die Menschen in der DDR die Wahl zwischen 24 Parteien und Wahlbündnissen. Die Wahlbeteiligung lag bei beeindruckenden über 93 Prozent!

Wahlsieger war bei dieser Wahl 1990 die ""Allianz für Deutschland"", ein Bündnis aus #CDU, Demokratischem Aufbruch (DA) und Deutscher Sozialer Union (DSU).
Sie erhält 48 Prozent der Stimmen (SPD 21,9%. PDS 16,3%, Bündnis 90 nur 2,9%).
Die Wähler stimmen damit für die Deutsche Einheit, westliche Demokratie und Soziale Marktwirtschaft.

Die Große Koalition von Lothar de Maizière (CDU, SPD, DSU, DA und Liberale) bereitete damals den Beitritt der DDR nach Art. 23 Grundgesetz vor. Am Ende stand der Einigungsvertrag.
Die erste freie #Volkskammerwahl der #DDR war damit auch die letzte. #friedlicheRevolution

Heute, 32 Jahre später, bin ich Mitglied des Deutschen #Bundestages. 🇩🇪
Darüber bin ich dankbar und bewegt zugleich.

#MeineErsteWahl 
CDU CDU/CSU-Bundestagsfraktion","2022-03-18T11:32:47","Publicación de Facebook",576,15,NA,36,0,0,"2022-03-18","11:32:47",2022-03-18 11:32:47,"rz 1990 ❌ ",2022-03-18,NA,NA,NA,NA,NA,NA,NA
"83","Gestern im Deutschen #Bundestag 🇺🇦 #standwithU","2022-03-18T08:01:27","Publicación de Facebook",993,14,NA,84,7,0,"2022-03-18","08:01:27",2022-03-18 08:01:27,"n im Deuts",2022-03-18,"worter","worter","gebastelt","Ukraine",NA,1,"unterstutzung"
"84","Weltweit werden #Menschen zu #Unrecht in Gefängnissen festgehalten. Der 18. März macht als #Aktionstag für die #Freiheit politischer Gefangener genau darauf aufmerksam. Ich möchte heute die Gelegenheit nutzen, auf Schicksale aufmerksam zu machen, die mich persönlich sehr berühren und für die ich mich politisch einsetze!

#WeStandBYyou sage ich weiterhin zu Andrei Kuznechyk in #Belarus. Dieser freischaffende #Journalist bei Radio Svaboda wurde am 25. November 2021 verhaftet und wird seither ohne Anklage festgehalten. Er gehört zu den vielen politischen Gefangenen, die im Rahmen der Proteste gegen Alexander Lukaschenko festgenommen wurden. 

In Zeiten, in denen in #Russland 🇷🇺 unzählige Menschen inhaftiert werden, weil sie gegen den Angriffskrieg in der #Ukraine 🇺🇦 auf die Straße gehen, bedanke ich mich bei allen, die sich für politische Gefangene einsetzen! Besonders erwähnen möchte ich die Internationale Gesellschaft für Menschenrechte und die Organisation Libereco. Beide unterstütze ich im Rahmen meiner Möglichkeiten, um für das Recht und die Freiheit politischer Gefangener zu kämpfen!","2022-03-18T06:02:29","Publicación de Facebook",533,4,NA,10,0,0,"2022-03-18","06:02:29",2022-03-18 06:02:29,"it werden ",2022-03-18,"menschenframed","bild","profesional","Partenschaft",NA,1,"Aktion"
